Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_021.jpg;0;1;0;2.362657;102.4203;88.16035;1.32758;42.25331;-0.001284527
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_089.jpg;0;1;0;2.405566;102.5282;88.2576;1.326354;42.24197;-0.001274279
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_155.jpg;0;1;0;2.464002;102.6382;88.35662;1.329096;42.23006;-0.001283727
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_222.jpg;0;1;0;2.507062;102.7878;88.49134;1.336367;42.21481;-0.00132878
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_289.jpg;0;1;0;2.550004;102.9024;88.59437;1.342691;42.20362;-0.001348852
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_354.jpg;0;1;0;2.607369;103.0187;88.69897;1.338444;42.19194;-0.001335613
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_422.jpg;0;1;0;2.649949;103.1769;88.84122;1.343823;42.1753;-0.001246692
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_507.jpg;0;1;0;2.692109;103.3386;88.98647;1.35427;42.15799;-0.001407679
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_589.jpg;0;1;0;2.762177;103.5035;89.13452;1.350049;42.14187;-0.001384778
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_654.jpg;0;1;0;2.818754;103.6296;89.24759;1.354837;42.12801;-0.00139204
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_734.jpg;0;1;0;2.860671;103.8005;89.40088;1.357743;42.1106;-0.001420971
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_802.jpg;0;1;0;2.916334;103.9748;89.55711;1.36181;42.09507;-0.0009886288
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_871.jpg;0;1;0;2.971458;104.1078;89.67619;1.368612;42.07978;-0.001466561
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_45_938.jpg;-1.587525;1;0;3.012904;104.2882;89.83712;1.370532;41.98547;-0.0011225
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_46_024.jpg;-4.547073;1;0;3.053937;104.4737;89.99852;1.364399;41.38619;0.0007876694
